id,name,area,salary_from,salary_to,currency,snippet_requirement,snippet_responsibility,experience,employment,schedule,key_skills
118794341,Менеджер по продажам,Алматы,300000.0,1800000.0,KZT,,"Республиканский центр подготовки и повышения квалификации - это учебный центр. Предоставляет услуги связанные с обеспечением безопасности и охраны труда, пожарной безопасности...",От 1 года до 3 лет,Полная занятость,Полный день,"B2B Продажи, Холодные продажи, Телефонные переговоры, Консультирование клиентов, Консультативные продажи, Заключение договоров, Консультирование клиентов по телефону, телефонные продажи, Активные продажи, Холодные звонки"
119755314,Менеджер чатов (в Яндекс),Москва,30000.0,77000.0,RUR,Опыт работы не требуется (будет оплачиваемое обучение). Будет плюсом опыт работы на вакансиях:,,Нет опыта,Полная занятость,Удаленная работа,"Грамотная речь, Работа в команде, Деловая переписка, Деловое общение"
118490886,Менеджер консультант КФ UMC,Астана,190000.0,200000.0,KZT,Среднее-специальное или высшее образование. Специализация не имеет значения. Свободное владение русским и казахским. Четкая дикция. Стрессоустойчивость.,Запись пациентов в информационную медицинскую систему на прием к медицинским специалистам клинический подразделений.,Нет опыта,Полная занятость,Полный день,
117731302,Менеджер по продажам логистических услуг,Алматы,400000.0,,KZT,Опыт в сфере транспорта и логистики (будет преимуществом). Холодные звонки. Умение и желание продавать. Планировать свою работу. Грамотная речь. ,"Активный поиск и привлечение новых клиентов (существующая база актуальных клиентов будет преимуществом). Холодные звонки и обязательные встречи с лицами, принимающими...",От 1 года до 3 лет,Полная занятость,Полный день,"умение искать клиентов и продавать, Холодные продажи, Поиск и привлечение клиентов, Телефонные переговоры, Транспортная логистика, Холодные звонки, Логистика"
119723339,Менеджер по работе с отзывами и вопросами,Москва,40000.0,,RUR,Отличные коммуникативные навыки и умение работать с большим объемом информации. Способность к аналитическому мышлению и решению проблем. Готовность работать в...,"Обработка и анализ отзывов клиентов для выявления ключевых проблем и предложений. Ответы на вопросы клиентов в онлайн-режиме, предоставление необходимой...",Нет опыта,Полная занятость,Удаленная работа,"Грамотная письменная речь, Оформление контента, Грамотная устная речь, Работа с фотостоками, Умение учиться, Деловое общение, Работа с большим объемом информации, Мессенджер-маркетинг"
120169159,HR Менеджер,Атырау,,,,"Опыт работы в HR не менее 2 лет. Обязателен опыт урегулирования трудовых конфликтов. Знание 1С: ЗУП, ЭДО и платформы...",Полное ведение HR-процессов в организации. Контролировать и участвовать в формировании проекта бюджета в части: фонда оплаты труда (ФОТ). ,От 3 до 6 лет,Полная занятость,Полный день,"Корпоративная культура, Оценка персонала, Мотивация сотрудников, HR-аналитика, Разработка долгосрочной системы мотивации, Обучение персонала, Управление бюджетом, Управление конфликтами, Внутренние коммуникации, Управление репутацией, Разработка и внедрение KPI, Договорная работа, Система мотивации персонала, Разработка системы мотивации, Кадровое планирование"
119447932,Менеджер чатов Авито (Авитолог),Москва,60000.0,100000.0,RUR,Ответственность и пунктуальность. Умение работать по скрипту. Хорошие коммуникативные навыки. Уверенное владение Excel. Желание работать и зарабатывать!,Аккаунт-<highlighttext>менеджер</highlighttext> по продажам одежды на Авито. Быстрая и вежливая обработка сообщений клиентов на Авито. Работа по предоставленному скрипту. ,Нет опыта,Частичная занятость,Удаленная работа,"Деловая коммуникация, Деловая переписка, Продажи через интернет, Грамотная письменная речь"
120224524,Офис-менеджер,Аксай (Казахстан),200000.0,350000.0,KZT,Ответственность. Целеустремленность и настойчивость. Грамотная речь и умение находить общий язык с людьми.,"Администрирование офиса. Ведение делопроизводства. Прием и обработка входящих звонков. Прием посетителей офиса. Создание гостеприимной, доброжелательной атмосферы в офисе. ",От 1 года до 3 лет,Полная занятость,Полный день,"Вводный инструктаж по охране труда и технике безопасности, Вводный инструктаж о мерах пожарной безопасности, разработка инструкций по охране труда, Промышленная безопасность"
120217529,Менеджер по логистике,Слуцк,3000.0,,BYR,"Исполнительность, ответственность, коммуникабельность, многозадачность. Владение ПК. Знание процесса грузоперевозок и цепочки поставок приветствуется. Скорость и самостоятельность в принятии решений. ","Загрузка собственного транспорта. Контроль за работой водителя. Ведение переговоров с транспортными компаниями, перевозчиками и экспедиторами. Нахождение наиболее оптимальных вариантов доставки...",Нет опыта,Полная занятость,Полный день,
120177800,Менеджер маркетплейсов (WB и Ozon),Молодечно,1500.0,,BYR,Знание методов и инструментов аналитики интернет-рекламы. Профильное образование. Знание EXCEL. Желателен опыт работы с рекламными кабинетами WB и OZON.,"Создание и мониторинг рекламных компаний (РК) в рекламных кабинетах WB и OZON. Анализ РК (CTR, CR, CPC ...), формирование отчетов (в...",Нет опыта,Полная занятость,Полный день,"Маркетинговый анализ, SEO, Интернет-реклама, Работа с большим объемом информации, Интернет маркетинг"
